statusId | label
30|S8
statusId|sensorName|value|timestamp
30|AK09916C Magnetic field Sensor|[-17.1,8.7,-46.079998]|1596069942268
30|LSM6DSL Gyroscope Sensor|[0.084089875,-0.2790396,-0.616787]|1596069942269
30|LSM6DSL Acceleration Sensor|[0.24900457,-0.23463893,10.180456]|1596069942270
30|LSM6DSL Gyroscope Sensor|[0.0871442,-0.27109832,-0.61861956]|1596069942270
30|LSM6DSL Acceleration Sensor|[0.20351335,-0.16759923,10.170879]|1596069942272
30|LSM6DSL Gyroscope Sensor|[0.09325285,-0.25460497,-0.6241174]|1596069942273
30|LSM6DSL Acceleration Sensor|[0.12929083,-0.13886794,10.1541195]|1596069942274
30|LSM6DSL Gyroscope Sensor|[0.091420256,-0.24055506,-0.6253391]|1596069942275
30|LSM6DSL Acceleration Sensor|[0.098165266,-0.14365649,10.146936]|1596069942276
30|LSM6DSL Gyroscope Sensor|[0.09691805,-0.20756835,-0.6265608]|1596069942276
30|LSM6DSL Acceleration Sensor|[-0.0047885496,-0.14844504,10.166091]|1596069942278
30|Orientation Sensor|[70.723175,0.84225494,-0.14435527]|1596069942279
30|AK09916C Magnetic field Sensor|[-17.4,8.4,-46.02]|1596069942279
30|LSM6DSL Gyroscope Sensor|[0.09752891,-0.16664039,-0.62289566]|1596069942279
30|LSM6DSL Acceleration Sensor|[-0.03351985,-0.14365649,10.180456]|1596069942280
30|LSM6DSL Gyroscope Sensor|[0.09630718,-0.14648183,-0.62106305]|1596069942281
30|LSM6DSL Acceleration Sensor|[-0.057462595,-0.14844504,10.202005]|1596069942283
30|LSM6DSL Gyroscope Sensor|[0.09752891,-0.1098299,-0.61984134]|1596069942283
30|LSM6DSL Acceleration Sensor|[-0.090982445,-0.17957062,10.235525]|1596069942284
30|LSM6DSL Gyroscope Sensor|[0.101194106,-0.075621456,-0.616787]|1596069942285
30|LSM6DSL Acceleration Sensor|[-0.14365649,-0.18914771,10.295382]|1596069942286
30|LSM6DSL Gyroscope Sensor|[0.10547016,-0.059738956,-0.61556524]|1596069942287
30|LSM6DSL Acceleration Sensor|[-0.19393626,-0.22027329,10.338479]|1596069942288
30|Orientation Sensor|[71.04559,0.78582543,-0.102018625]|1596069942288
30|AK09916C Magnetic field Sensor|[-17.94,7.9199996,-45.539997]|1596069942288
30|LSM6DSL Gyroscope Sensor|[0.11646574,-0.016978389,-0.6088457]|1596069942288
30|LSM6DSL Acceleration Sensor|[-0.21548474,-0.25139886,10.345661]|1596069942291
30|LSM6DSL Gyroscope Sensor|[0.12501785,-0.0023176228,-0.6057914]|1596069942291
30|LSM6DSL Acceleration Sensor|[-0.2681588,-0.30167863,10.352844]|1596069942292
30|LSM6DSL Gyroscope Sensor|[0.13967861,0.009899682,-0.59968275]|1596069942293
30|LSM6DSL Acceleration Sensor|[-0.29928434,-0.3040729,10.331296]|1596069942294
30|LSM6DSL Gyroscope Sensor|[0.14273295,0.012343143,-0.598461]|1596069942295
30|LSM6DSL Acceleration Sensor|[-0.3423813,-0.2849187,10.285805]|1596069942296
30|LSM6DSL Gyroscope Sensor|[0.1555611,0.008067086,-0.5960176]|1596069942297
